Ped,#sequences,#sequences_day,sequences_nigth,#bboxes,#bboxes_day,#bboxes_nigth,#cams,#cams_day,#cams_night
653289389,4,2,2,238,99,139,3,2,2
663522487,3,2,1,87,40,47,3,3,2
664399832,1,0,1,77,0,77,1,0,1
666086773,3,2,1,27,10,17,3,3,2
666718676,2,1,1,63,53,10,2,1,1
678319271,3,2,1,219,150,69,3,3,1
68070371,1,1,0,4,4,0,1,1,0
691061163,3,2,1,109,33,76,2,2,1
696250687,3,2,1,208,104,104,4,3,2
706935758,1,1,0,55,55,0,1,1,0
70821038,2,2,0,116,116,0,2,2,0
718836251,3,2,1,140,125,15,3,3,1
71929310,3,2,1,149,71,78,2,2,1
728636342,3,2,1,64,46,18,3,3,1
744758650,2,2,0,37,37,0,2,2,0
755956971,2,1,1,34,31,3,2,1,1
766375082,3,2,1,189,157,32,3,3,1
767028979,2,2,0,7,7,0,2,2,0
768005095,2,2,0,85,85,0,3,3,0
773063444,3,1,2,190,58,132,3,1,2
776079908,2,2,0,138,138,0,2,2,0
788443093,2,1,1,42,37,5,3,2,1
793439294,2,1,1,29,7,22,2,1,1
793443893,1,1,0,32,32,0,1,1,0
797459875,2,1,1,45,15,30,2,2,1
803106487,3,2,1,85,23,62,3,2,1
810804565,3,2,1,126,102,24,2,2,1
813893651,4,2,2,355,200,155,4,3,3
815693290,3,2,1,37,22,15,3,2,1
824925120,3,2,1,70,48,22,3,2,1
826475330,3,2,1,171,105,66,3,2,1
832784782,3,2,1,168,91,77,2,2,1
835315305,3,1,2,87,6,81,4,1,4
846439045,2,2,0,133,133,0,3,3,0
850468060,3,2,1,107,70,37,3,3,1
866411749,3,2,1,39,32,7,2,2,1
874722259,3,2,1,126,76,50,2,2,1
880829941,4,2,2,233,197,36,4,3,2
891398354,3,2,1,49,35,14,3,2,1
891945583,1,0,1,52,0,52,1,0,1
894928436,3,2,1,81,65,16,4,3,1
915948376,1,1,0,69,69,0,1,1,0
919005580,3,2,1,219,161,58,3,3,1
920595805,2,1,1,34,18,16,1,1,1
921110016,2,2,0,104,104,0,2,2,0
933092024,4,2,2,111,32,79,4,3,3
933205398,2,1,1,126,81,45,2,1,1
941695432,1,1,0,4,4,0,1,1,0
946007720,2,1,1,119,67,52,2,1,1
951767867,3,2,1,168,102,66,3,2,1
988062523,2,1,1,91,66,25,2,2,1
994527967,3,2,1,93,71,22,3,3,2
999748158,3,2,1,192,132,60,2,2,1
808859815,0,0,0,0,0,0,0,0,0
3185399110,0,0,0,0,0,0,0,0,0
2721800023,0,0,0,0,0,0,0,0,0
579932932,0,0,0,0,0,0,0,0,0
